Complaint Text,clean_text,Category,Subcategory,label,label_name
The government bus stand has no drinking water facility or clean toilets for passengers waiting for long hours.,government bus stand drinking water facility clean toilet passenger waiting long hour,Infrastructure,Roads & Transport,5,Infrastructure
"Road work near sector 9 has been abandoned midway, leaving debris that causes accidents at night.",road work near sector abandoned midway leaving debris cause accident night,Infrastructure,Roads & Transport,5,Infrastructure
Electric cables are hanging dangerously low over the main road near the temple creating risk of electrocution.,electric cable hanging dangerously low main road near temple creating risk electrocution,Infrastructure,Roads & Transport,5,Infrastructure
"There are no road signs or direction boards in the new township area, causing confusion for visitors.",road sign direction board new township area causing confusion visitor,Infrastructure,Roads & Transport,5,Infrastructure
The public cycle track near the park is being used by motorcycles illegally with no enforcement action taken.,public cycle track near park used motorcycle illegally enforcement action taken,Infrastructure,Roads & Transport,5,Infrastructure
Heavy construction vehicles are damaging residential roads not meant for such loads without any permission.,heavy construction vehicle damaging residential road meant load without permission,Infrastructure,Roads & Transport,5,Infrastructure
Tap water in our area contains mud and foul smell. It is unfit for drinking and causing illness in children.,tap water area contains mud foul smell unfit drinking causing illness child,Water & Sanitation,Water Supply,6,Water & Sanitation
Water supply has been cut off in our ward for 5 consecutive days with no official communication from the department.,water supply cut ward consecutive day official communication department,Water & Sanitation,Water Supply,6,Water & Sanitation
"Water tankers supplied by municipality are dirty and the water has a chemical smell, making it unsafe to use.",water tanker supplied municipality dirty water chemical smell making unsafe use,Water & Sanitation,Water Supply,6,Water & Sanitation
The water pipeline near block C is leaking for 2 weeks causing road damage and water wastage daily.,water pipeline near block leaking week causing road damage water wastage daily,Water & Sanitation,Water Supply,6,Water & Sanitation
Residents of lower income areas get only 30 minutes of water supply while other wards get 4 hours. This is unfair.,resident lower income area get minute water supply ward get hour unfair,Water & Sanitation,Water Supply,6,Water & Sanitation
The open drainage channel near our colony overflows every monsoon and waste water enters homes.,open drainage channel near colony overflow every monsoon waste water enters home,Water & Sanitation,Drainage,6,Water & Sanitation
Sewage line is blocked in our street for over a week. The stench is unbearable and health hazard for all residents.,sewage line blocked street week stench unbearable health hazard resident,Water & Sanitation,Drainage,6,Water & Sanitation
Drainage pipes near the school have burst and sewage water is flowing into the playground used by children.,drainage pipe near school burst sewage water flowing playground used child,Water & Sanitation,Drainage,6,Water & Sanitation
The municipal water meter installed at my property is giving incorrect readings and I am being overbilled.,municipal water meter installed property giving incorrect reading overbilled,Water & Sanitation,Water Supply,6,Water & Sanitation
New drainage system constructed last year already has cracks and is not functioning properly after one rain season.,new drainage system constructed last year already crack functioning properly one rain season,Water & Sanitation,Drainage,6,Water & Sanitation
Water fluoride levels in our panchayat well are extremely high. Dental fluorosis is common in children here.,water fluoride level panchayat well extremely high dental fluorosis common child,Water & Sanitation,Water Supply,6,Water & Sanitation
Plastic waste dumped in drainage channels is blocking flow and causing flooding on the main road during rains.,plastic waste dumped drainage channel blocking flow causing flooding main road rain,Water & Sanitation,Drainage,6,Water & Sanitation
Illegal bore wells drilled by housing society are depleting groundwater and reducing supply to our area.,illegal bore well drilled housing society depleting groundwater reducing supply area,Water & Sanitation,Water Supply,6,Water & Sanitation
Open manholes near residential area are a danger to children and elderly. Three people have fallen in this month.,open manhole near residential area danger child elderly three people fallen month,Water & Sanitation,Drainage,6,Water & Sanitation
Water supply department staff are demanding bribe for new connections. This is corruption and must be investigated.,water supply department staff demanding bribe new connection corruption must investigated,Water & Sanitation,Water Supply,6,Water & Sanitation
The storm water drain passes through our village but has not been cleaned for 2 years and is fully blocked with silt.,storm water drain pass village cleaned year fully blocked silt,Water & Sanitation,Drainage,6,Water & Sanitation
Overhead water tank in our colony is cracked and water is contaminated. It has not been cleaned for months.,overhead water tank colony cracked water contaminated cleaned month,Water & Sanitation,Water Supply,6,Water & Sanitation
Sewage treatment plant near our locality is not functioning and untreated waste is being discharged into the river.,sewage treatment plant near locality functioning untreated waste discharged river,Water & Sanitation,Drainage,6,Water & Sanitation
Water pressure in upper floor of buildings in our ward is very low due to insufficient pumping from the authorities.,water pressure upper floor building ward low due insufficient pumping authority,Water & Sanitation,Water Supply,6,Water & Sanitation
Industrial effluents mixed with municipal drainage are flowing into agricultural land and destroying crops nearby.,industrial effluent mixed municipal drainage flowing agricultural land destroying crop nearby,Water & Sanitation,Drainage,6,Water & Sanitation
Free water scheme beneficiaries in our slum are not getting water connections despite repeated applications.,free water scheme beneficiary slum getting water connection despite repeated application,Water & Sanitation,Water Supply,6,Water & Sanitation
"Drain covers near the market area have been stolen and not replaced, posing major risk to pedestrians and cyclists.",drain cover near market area stolen replaced posing major risk pedestrian cyclist,Water & Sanitation,Drainage,6,Water & Sanitation
Water bills sent to our locality have incorrect names and addresses causing confusion and billing disputes.,water bill sent locality incorrect name address causing confusion billing dispute,Water & Sanitation,Water Supply,6,Water & Sanitation
Household waste is being dumped directly into the open drain by several households causing blockages regularly.,household waste dumped directly open drain several household causing blockage regularly,Water & Sanitation,Drainage,6,Water & Sanitation
Public hand pump installed by panchayat near tribal hamlet has not worked for 3 months. No repair has been done.,public hand pump installed panchayat near tribal hamlet worked month repair done,Water & Sanitation,Water Supply,6,Water & Sanitation
Power cuts in our area last 8 to 10 hours daily despite no official load shedding schedule being announced.,power cut area last hour daily despite official load shedding schedule announced,Electricity,Power Supply,1,Electricity
Transformer in our colony blew up 4 days ago and has not been replaced. Entire colony is without electricity.,transformer colony blew day ago replaced entire colony without electricity,Electricity,Power Supply,1,Electricity
Electricity department is sending inflated bills with no proper meter reading. My bill doubled without explanation.,electricity department sending inflated bill proper meter reading bill doubled without explanation,Electricity,Power Supply,1,Electricity
The electricity connection of my neighbor was cut for non-payment but power to their house was resumed with a bribe.,electricity connection neighbor cut non payment power house resumed bribe,Electricity,Power Supply,1,Electricity
Voltage fluctuations in our area are burning household appliances. This has happened daily for the past 2 months.,voltage fluctuation area burning household appliance happened daily past month,Electricity,Power Supply,1,Electricity
Electricity poles in the flood-affected area are tilted and dangerous. Wires have snapped and pose electrocution risk.,electricity pole flood affected area tilted dangerous wire snapped pose electrocution risk,Electricity,Power Supply,1,Electricity
Government subsidy on electricity bills has not been applied to my account despite multiple submissions of required documents.,government subsidy electricity bill applied account despite multiple submission required document,Electricity,Power Supply,1,Electricity
"Power supply to our agricultural pump set is given only for 4 hours at midnight, making irrigation extremely difficult.",power supply agricultural pump set given hour midnight making irrigation extremely difficult,Electricity,Power Supply,1,Electricity
The electricity substation near our school emits continuous loud noise disturbing students during exam preparation.,electricity substation near school emits continuous loud noise disturbing student exam preparation,Electricity,Power Supply,1,Electricity
Unauthorized electricity tapping by commercial establishments is causing low voltage for all household consumers.,unauthorized electricity tapping commercial establishment causing low voltage household consumer,Electricity,Power Supply,1,Electricity
Street lights installed under smart city project in our ward are non-functional just 6 months after installation.,street light installed smart city project ward non functional month installation,Electricity,Power Supply,1,Electricity
An old electricity pole is leaning dangerously over a playground and could fall. Concerned for children's safety.,old electricity pole leaning dangerously playground could fall concerned child safety,Electricity,Power Supply,1,Electricity
Power outage during rains is a daily occurrence in our colony but DISCOM has taken no permanent corrective steps.,power outage rain daily occurrence colony discom taken permanent corrective step,Electricity,Power Supply,1,Electricity
My new electricity connection application was submitted 3 months ago with full payment but work has not started.,new electricity connection application submitted month ago full payment work started,Electricity,Power Supply,1,Electricity
The electricity meter outside my house has been tampered with by an unknown person. I fear I will be falsely blamed.,electricity meter outside house tampered unknown person fear falsely blamed,Electricity,Power Supply,1,Electricity
Industrial units in our area run heavy machinery at night causing severe fluctuations affecting residential consumers.,industrial unit area run heavy machinery night causing severe fluctuation affecting residential consumer,Electricity,Power Supply,1,Electricity
Electricity bills are being sent in English only. Rural consumers cannot understand them. Hindi version is needed.,electricity bill sent english rural consumer cannot understand hindi version needed,Electricity,Power Supply,1,Electricity
Emergency electricity connection for a hospital in our town was denied without valid reason by the department.,emergency electricity connection hospital town denied without valid reason department,Electricity,Power Supply,1,Electricity
High-tension wire runs directly over our house. We have complained multiple times but no action has been taken.,high tension wire run directly house complained multiple time action taken,Electricity,Power Supply,1,Electricity
Power supply is restored immediately in high-income areas but low-income localities wait for days after outage.,power supply restored immediately high income area low income locality wait day outage,Electricity,Power Supply,1,Electricity
The primary health centre in our village has no doctor for the past 2 months. Patients travel 30 km for basic care.,primary health centre village doctor past month patient travel basic care,Health,Public Healthcare,4,Health
Free medicines under government scheme are not available at our district hospital. Staff asks patients to buy outside.,free medicine government scheme available district hospital staff asks patient buy outside,Health,Public Healthcare,4,Health
The ambulance service in our taluka takes more than 2 hours to respond to emergency calls. Lives are being lost.,ambulance service taluka take hour respond emergency call life lost,Health,Public Healthcare,4,Health
Government hospital near our area has no functioning X-ray machine for over 3 months. Patients suffer daily.,government hospital near area functioning ray machine month patient suffer daily,Health,Public Healthcare,4,Health
Sanitation in the civil hospital ward is extremely poor. Toilets are broken and floors are unclean causing infections.,sanitation civil hospital ward extremely poor toilet broken floor unclean causing infection,Health,Public Healthcare,4,Health
Ayushman Bharat card holders in our village are being denied cashless treatment at empanelled private hospitals.,ayushman bharat card holder village denied cashless treatment empanelled private hospital,Health,Public Healthcare,4,Health
Vaccination camp schedule for children under 5 has been cancelled repeatedly with no rescheduling in our panchayat.,vaccination camp schedule child cancelled repeatedly rescheduling panchayat,Health,Public Healthcare,4,Health
The sub-health centre is being used for storing non-medical items. Medical services have effectively stopped there.,sub health centre used storing non medical item medical service effectively stopped,Health,Public Healthcare,4,Health
Government hospital staff are rude and neglect patients from lower castes. Discrimination is clearly happening.,government hospital staff rude neglect patient lower caste discrimination clearly happening,Health,Public Healthcare,4,Health
Dead rats were found in the government hospital kitchen. Food safety and hygiene is being completely ignored.,dead rat found government hospital kitchen food safety hygiene completely ignored,Health,Public Healthcare,4,Health
Dialysis machines at the civil hospital have been non-functional for a month causing hardship for kidney patients.,dialysis machine civil hospital non functional month causing hardship kidney patient,Health,Public Healthcare,4,Health
Fake medicines are being distributed at the government dispensary. This is life threatening and needs investigation.,fake medicine distributed government dispensary life threatening need investigation,Health,Public Healthcare,4,Health
The ASHA worker in our village is not conducting home visits and pocketing incentives without delivering services.,asha worker village conducting home visit pocketing incentive without delivering service,Health,Public Healthcare,4,Health
Malaria and dengue cases are rising in our area but no fogging or preventive measures have been taken by authorities.,malaria dengue case rising area fogging preventive measure taken authority,Health,Public Healthcare,4,Health
Blood bank at the district hospital frequently runs out of blood. Cancer patients are being critically affected.,blood bank district hospital frequently run blood cancer patient critically affected,Health,Public Healthcare,4,Health
No female doctor is available at the PHC. Women patients are uncomfortable and often avoid going for treatment.,female doctor available phc woman patient uncomfortable often avoid going treatment,Health,Public Healthcare,4,Health
Mental health services are completely absent in rural primary health centers. Patients have no access to care.,mental health service completely absent rural primary health center patient access care,Health,Public Healthcare,4,Health
Referral letters for government hospitals are being withheld by staff unless patients pay unofficial fees.,referral letter government hospital withheld staff unless patient pay unofficial fee,Health,Public Healthcare,4,Health
The labour room in the government hospital has no proper lighting or equipment. Deliveries happen in unsafe conditions.,labour room government hospital proper lighting equipment delivery happen unsafe condition,Health,Public Healthcare,4,Health
COVID-19 vaccination records of our village are incorrect. Beneficiaries are listed as vaccinated without receiving doses.,covid vaccination record village incorrect beneficiary listed vaccinated without receiving dos,Health,Public Healthcare,4,Health
Government school in our village has no teacher for class 6 to 8 since the start of the academic year this year.,government school village teacher class since start academic year year,Education,Schools,0,Education
Mid-day meal quality at our primary school is very poor. Children are given watery rice and no vegetables daily.,mid day meal quality primary school poor child given watery rice vegetable daily,Education,Schools,0,Education
School building roof is leaking and classrooms flood during rain. Students sit on wet floors without any alternative.,school building roof leaking classroom flood rain student sit wet floor without alternative,Education,Schools,0,Education
Free textbooks under government scheme have not been distributed to students even though the session started 2 months ago.,free textbook government scheme distributed student even though session started month ago,Education,Schools,0,Education
Girls' toilet in our government school has been locked for months. Female students are forced to go to open areas.,girl toilet government school locked month female student forced open area,Education,Schools,0,Education
Teacher attendance at our government school is very irregular. Students sit idle for days without instruction.,teacher attendance government school irregular student sit idle day without instruction,Education,Schools,0,Education
Scholarship money under SC/ST category has not been credited to students' accounts for 8 months. Action needed urgently.,scholarship money category credited student account month action needed urgently,Education,Schools,0,Education
School playground has been illegally taken over by a private party and students have no space for physical activity.,school playground illegally taken private party student space physical activity,Education,Schools,0,Education
Children with disabilities in our panchayat are being denied enrollment in government schools without valid reason.,child disability panchayat denied enrollment government school without valid reason,Education,Schools,0,Education
The computer lab in our government school has no working computers. The facility is just for show with no real use.,computer lab government school working computer facility show real use,Education,Schools,0,Education
Private coaching centers near schools are being run by government teachers during school hours. This is against rules.,private coaching center near school run government teacher school hour rule,Education,Schools,0,Education
School enrollment drive data in our block is fabricated. Hundreds of ghost students have been shown on records.,school enrollment drive data block fabricated hundred ghost student shown record,Education,Schools,0,Education
Morning assembly at our government school involves religious activities that are forcing students of other faiths to participate.,morning assembly government school involves religious activity forcing student faith participate,Education,Schools,0,Education
Drinking water facility at the government school is non-functional for 3 weeks. Children drink unsafe water from nearby pond.,drinking water facility government school non functional week child drink unsafe water nearby pond,Education,Schools,0,Education
The school bus provided under government scheme is in very bad condition and not roadworthy. Children's safety is at risk.,school bus provided government scheme bad condition roadworthy child safety risk,Education,Schools,0,Education
"Two teachers at our school hold posts in the same school for years without transfer, blocking junior teacher placements.",two teacher school hold post school year without transfer blocking junior teacher placement,Education,Schools,0,Education
Government school principal is running private tuition for same students and pressuring them to attend paid classes.,government school principal running private tuition student pressuring attend paid class,Education,Schools,0,Education
Building repair work at our school is ongoing for 6 months. Students are displaced and studying under trees.,building repair work school ongoing month student displaced studying tree,Education,Schools,0,Education
Physical punishment is being administered to students at the government school in our ward. This violates child rights.,physical punishment administered student government school ward violates child right,Education,Schools,0,Education
No books have been issued in the school library for 2 years. The entire library budget appears to have been misused.,book issued school library year entire library budget appears misused,Education,Schools,0,Education
Garbage has not been collected from our colony for 10 days. Heaps are piling up on roads causing health hazard.,garbage collected colony day heap piling road causing health hazard,Environment,Waste Management,2,Environment
Municipal garbage trucks dump waste at an unauthorized site near our locality. The smell is unbearable at all times.,municipal garbage truck dump waste unauthorized site near locality smell unbearable time,Environment,Waste Management,2,Environment
Plastic waste burning near residential areas is happening daily. The smoke is causing respiratory problems for residents.,plastic waste burning near residential area happening daily smoke causing respiratory problem resident,Environment,Waste Management,2,Environment
A factory near our village is releasing untreated chemical waste into the river used for drinking by 5 villages.,factory near village releasing untreated chemical waste river used drinking village,Environment,Pollution,2,Environment
Construction dust from the new expressway project is polluting our entire village without any protective measures.,construction dust new expressway project polluting entire village without protective measure,Environment,Pollution,2,Environment
Garbage collectors in our ward are collecting money from residents but not providing any service in return.,garbage collector ward collecting money resident providing service return,Environment,Waste Management,2,Environment
Noise pollution from an illegally running stone crusher near our homes is causing hearing problems and distress.,noise pollution illegally running stone crusher near home causing hearing problem distress,Environment,Pollution,2,Environment
Bio-medical waste from a private clinic is being dumped openly on the roadside near our residential street.,bio medical waste private clinic dumped openly roadside near residential street,Environment,Waste Management,2,Environment
The air quality near the industrial estate is extremely poor. Our children have constant cough and breathing difficulty.,air quality near industrial estate extremely poor child constant cough breathing difficulty,Environment,Pollution,2,Environment
Segregated waste bins installed under Swachh Bharat mission in our area are missing. No replacement has been provided.,segregated waste bin installed swachh bharat mission area missing replacement provided,Environment,Waste Management,2,Environment
"A tannery is discharging toxic effluents into the stream flowing through our farmland, destroying crop and fish life.",tannery discharging toxic effluent stream flowing farmland destroying crop fish life,Environment,Pollution,2,Environment
Composting unit built by the municipality near our ward is non-functional and is instead being used as a dump yard.,composting unit built municipality near ward non functional instead used dump yard,Environment,Waste Management,2,Environment
Diesel generator sets run continuously by commercial buildings in our area cause both air and noise pollution.,diesel generator set run continuously commercial building area cause air noise pollution,Environment,Pollution,2,Environment
Construction rubble from a private builder is dumped on a public plot in our society for months with no removal.,construction rubble private builder dumped public plot society month removal,Environment,Waste Management,2,Environment
Stubble burning in nearby farms is happening daily despite ban. No action is being taken by agriculture department.,stubble burning nearby farm happening daily despite ban action taken agriculture department,Environment,Pollution,2,Environment
Waste picker community in our area has been displaced by authorities without any rehabilitation or alternative livelihood.,waste picker community area displaced authority without rehabilitation alternative livelihood,Environment,Waste Management,2,Environment
The lake in our city has turned completely green due to discharge of sewage. No action by environment department.,lake city turned completely green due discharge sewage action environment department,Environment,Pollution,2,Environment
Hospital waste from a government facility is being mixed with municipal solid waste and picked up by regular trucks.,hospital waste government facility mixed municipal solid waste picked regular truck,Environment,Waste Management,2,Environment
Firecrackers are being burst during non-permitted hours regularly in our area despite complaints to the police.,firecracker burst non permitted hour regularly area despite complaint police,Environment,Pollution,2,Environment
Open defecation is still happening in our ODF-declared village because new toilets are locked without water supply.,open defecation still happening odf declared village new toilet locked without water supply,Environment,Waste Management,2,Environment
"My ration card application has been pending for 6 months. Despite multiple visits, no update is given by the officer.",ration card application pending month despite multiple visit update given officer,Governance,Administration,3,Governance
BPL family in our village has been excluded from ration list despite eligibility. They are facing starvation.,bpl family village excluded ration list despite eligibility facing starvation,Governance,Administration,3,Governance
Government official at the tehsil office is demanding money for issuing a simple income certificate. This is bribery.,government official tehsil office demanding money issuing simple income certificate bribery,Governance,Corruption,3,Governance
Pension under old age scheme has not been credited for 4 months. The beneficiary is an 80-year-old widow.,pension old age scheme credited month beneficiary year old widow,Governance,Administration,3,Governance
Voter ID update application submitted 3 months ago has not been processed. Elections are approaching and I may lose my vote.,voter update application submitted month ago processed election approaching may lose vote,Governance,Administration,3,Governance
Funds released under MGNREGS for our panchayat are being misused. Workers are enrolled on paper but no work is done.,fund released mgnregs panchayat misused worker enrolled paper work done,Governance,Corruption,3,Governance
RTI application filed 60 days ago has not received a response which violates the statutory 30-day response timeline.,rti application filed day ago received response violates statutory day response timeline,Governance,Administration,3,Governance
My land mutation application is pending for over a year at the tehsil office. No reason has been given for the delay.,land mutation application pending year tehsil office reason given delay,Governance,Administration,3,Governance
Ration shop dealer in our village is selling subsidized grain in the black market and giving less quantity to card holders.,ration shop dealer village selling subsidized grain black market giving less quantity card holder,Governance,Corruption,3,Governance
Birth certificate application made at the municipal office 45 days ago has not been processed. No status is available.,birth certificate application made municipal office day ago processed status available,Governance,Administration,3,Governance
Block development officer is awarding contracts to relatives under disguised names. This needs immediate audit.,block development officer awarding contract relative disguised name need immediate audit,Governance,Corruption,3,Governance
Widow pension beneficiaries in our area are being asked to pay unofficial fees to process their regular monthly payments.,widow pension beneficiary area asked pay unofficial fee process regular monthly payment,Governance,Administration,3,Governance
Domicile certificate of my child is required for college admission but tehsil officer has refused to issue without reason.,domicile certificate child required college admission tehsil officer refused issue without reason,Governance,Administration,3,Governance
PM Awas Yojana house allotted to an ineligible beneficiary while a genuine homeless family was rejected in our village.,awas yojana house allotted ineligible beneficiary genuine homeless family rejected village,Governance,Corruption,3,Governance
National health mission data of our block shows inflated health service numbers. Ground reality is completely different.,national health mission data block show inflated health service number ground reality completely different,Governance,Administration,3,Governance
Forest department officials are allowing illegal timber cutting in protected zones and taking cuts from the contractors.,forest department official allowing illegal timber cutting protected zone taking cut contractor,Governance,Corruption,3,Governance
Police complaint registered at the local station 2 weeks ago has not resulted in any FIR or investigation yet.,police complaint registered local station week ago resulted fir investigation yet,Governance,Administration,3,Governance
Government subsidy for solar panel installation under state scheme has not reached approved applicants for over 8 months.,government subsidy solar panel installation state scheme reached approved applicant month,Governance,Administration,3,Governance
Land acquisition compensation for a highway project has not been paid to farmers even 2 years after their land was taken.,land acquisition compensation highway project paid farmer even year land taken,Governance,Corruption,3,Governance
Disability certificate application has been pending for 3 months at the civil hospital. No examination date has been given.,disability certificate application pending month civil hospital examination date given,Governance,Administration,3,Governance
